이/가 | (Subject markers) | [i/ga] |  | TOPIK I Level 1
~해서는 안 되다 | (Must not do) | [haeseoneun an dweda] |  | TOPIK II Level 3
~해야 하다 | (Have to do) | [haeya hada] |  | TOPIK II Level 3
~했더니 | (After doing) | [haetdeoni] |  | TOPIK II Level 3
~했었다 | (Had done) | [haesseotda] |  | TOPIK II Level 3
~했으면 좋겠다 | (I wish, I hope) | [haesseumyeon jotgetda] |  | TOPIK II Level 3
~했을 때 | (When someone did) | [haesseul ttae] |  | TOPIK II Level 3
~했을 텐데 | (Would have) | [haesseul tende] |  | TOPIK II Level 3
~했지만 | (Did, but) | [haetjiman] |  | TOPIK II Level 3
~했다 | (Did, past tense) | [haetda] |  | TOPIK II Level 3
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
~거든요 | (You see; Explaining) | [geondeunyo] |  | TOPIK II Level 4
~게 되다 | (End up doing) | [ge dweda] |  | TOPIK II Level 4
~게 하다 | (Make/let someone do) | [ge hada] |  | TOPIK II Level 4
~게 해서는 안 되다 | (Shouldn't make/let someone do) | [ge haeseoneun an dweda] |  | TOPIK II Level 4
겠다 | (will, guess, hope, wish) | [getda] |  | TOPIK II Level 4
~고 말다 | (Ended up doing) | [go malda] |  | TOPIK II Level 4
~고 보니 | (After doing, I noticed) | [go boni] |  | TOPIK II Level 4
~고 싶다 | (Want to) | [go sipda] |  | TOPIK II Level 4
~고 있다 | (In the process of doing) | [go itda] |  | TOPIK II Level 4
~고자 하다 | (In order to) | [goja hada] |  | TOPIK II Level 4
~곤 하다 | (Often do) | [gon hada] |  | TOPIK II Level 4
~기도 하다 | (Sometimes do) | [gido hada] |  | TOPIK II Level 4
~기로 | (Decided to) | [giro] |  | TOPIK II Level 4
~기로 되다 | (It's decided to) | [giro dweda] |  | TOPIK II Level 4
~기로 하다 | (Decide to) | [giro hada] |  | TOPIK II Level 4
~기 시작하다 | (Begin to) | [gi sijakhada] |  | TOPIK II Level 4
~기 위해서 | (In order to) | [gi wihaeseo] |  | TOPIK II Level 4
~기는 | (But) | [gineun] |  | TOPIK II Level 4
~기에는 | (For doing) | [gieneun] |  | TOPIK II Level 4
~기 전에 | (Before doing) | [gi jeone] |  | TOPIK II Level 4
~나 보다 | (Seems like, guess) | [na boda] |  | TOPIK II Level 4
~나다 | (End up doing, come to do) | [nada] |  | TOPIK II Level 4
~나요? | (Isn't it?) | [nayo?] |  | TOPIK II Level 4
~는 대로 | (As it is) | [neun daero] |  | TOPIK II Level 4
~는 도중에 | (While doing) | [neun dojunge] |  | TOPIK II Level 4
~는 바람에 | (Because of, due to) | [neun baram] | e | 
~는 방향으로 | (Toward) | [neun banghyangeuro] |  | TOPIK II Level 4
~는 법이다 | (Usually, always) | [neun beopida] |  | TOPIK II Level 4
~는데다 | (Furthermore, and) | [neundedda] |  | TOPIK II Level 4
~는데도 | (Even though, but still) | [neundedo] |  | TOPIK II Level 4
~는데요 | (But, however | [softener)] | neundeyo | 
~는지 | (Whether or not) | [neunji] |  | TOPIK II Level 4
~는지 모르겠다 | (I'm not sure if) | [neunji moreugessda] |  | TOPIK II Level 4
~는지라 | (Because, since) | [neunjira] |  | TOPIK II Level 4
~느라 | (고) | [(Doing, and thus not doing)] | neura | (go)
~다가 | (While, and then) | [daga] |  | TOPIK II Level 4
~다가는 | (If keep doing) | [daganeun] |  | TOPIK II Level 4
~다가도 | (Even though was doing) | [dagado] |  | TOPIK II Level 4
~다는 것 | (The fact that) | [daneun geot] |  | TOPIK II Level 4
~다며 | (Saying that) | [damyeo] |  | TOPIK II Level 4
~대로 | (According to, as) | [daero] |  | TOPIK II Level 4
~대로 하다 | (Do as instructed/said) | [daero hada] |  | TOPIK II Level 4
~대로이면 | (If it's as ... said) | [daeroimyeon] |  | TOPIK II Level 4
~도록 | (So that) | [dorok] |  | TOPIK II Level 4
~도록 하다 | (Make/ensure that) | [dorok hada] |  | TOPIK II Level 4
~도록이면 | (If possible) | [dorogimyeon] |  | TOPIK II Level 4
~든지 | (Whether ... or) | [deunji] |  | TOPIK II Level 4
~든지 ~든지 | (Either ... or) | [deunji deunji] |  | TOPIK II Level 4
~라도 | (At least, even if) | [rado] |  | TOPIK II Level 4
~라든지 | (Or something) | [radeunji] |  | TOPIK II Level 4
~라면 | (If it's the case that) | [ramyeon] |  | TOPIK II Level 4
~라면서 | (While saying that) | [ramyeonseo] |  | TOPIK II Level 4
~려고 | (In order to) | [ryeogo] |  | TOPIK II Level 4
~려고 하다 | (Try to) | [ryeogo hada] |  | TOPIK II Level 4
~려는데 | (I'm planning to, I want to) | [ryeonde] |  | TOPIK II Level 4
~마다 | (Every) | [mada] |  | TOPIK II Level 4
~만큼 | (As much as) | [mankeum] |  | TOPIK II Level 4
~면 | (If, when) | [myeon] |  | TOPIK II Level 4
~면서 | (While) | [myeonseo] |  | TOPIK II Level 4
~밖에 | (Nothing but, only) | [bakke] |  | TOPIK II Level 4
~보다 | (More than) | [boda] |  | TOPIK II Level 4
~부터 | (From, starting from) | [buteo] |  | TOPIK II Level 4
~서는 | (But in) | [seoneun] |  | TOPIK II Level 4
~아/어 보이다 | (Looks/seems like) | [a/eo boida] |  | TOPIK II Level 4
~아/어 버리다 | (Completely do, unfortunately do) | [a/eo beorida] |  | TOPIK II Level 4
~아/어 두다 | (Keep, leave) | [a/eo duda] |  | TOPIK II Level 4
~아/어 가다 | (Go on doing) | [a/eo gada] |  | TOPIK II Level 4
~아/어 오다 | (Come to do) | [a/eo oda] |  | TOPIK II Level 4
~아/어야 하다 | (Have to, must) | [a/eoya hada] |  | TOPIK II Level 4
~아/어야지 | (I'm going to) | [a/eoyaji] |  | TOPIK II Level 4
~아/어도 | (Even if) | [a/eodo] |  | TOPIK II Level 4
~아/어서 | (Because, so) | [a/eoseo] |  | TOPIK II Level 4
~았/었던 | (Was) | [ass/eossdeon] |  | TOPIK II Level 4
~았/었어야 했다 | (Should have done) | [ass/eosseoya haessda] |  | TOPIK II Level 4
~았/었으면 | (I wish it were) | [ass/eosseumyeon] |  | TOPIK II Level 4
~았/었을 텐데 | (I assume it must have been) | [ass/eosseul tende] |  | TOPIK II Level 4
~았/었다가 | (Was and then) | [ass/eossdaga] |  | TOPIK II Level 4
~았/었다면 | (If it had been) | [ass/eossdamyeon] |  | TOPIK II Level 4
~으면 좋겠다 | (I hope, it would be good if) | [eumyeon joketda] |  | TOPIK II Level 4
~으면서도 | (While, but still) | [eumyeonseodo] |  | TOPIK II Level 4
~을/ㄹ 거예요 | (Going to, will) | [eul/l geoyeyo] |  | TOPIK II Level 4
~을/ㄹ게요 | (I will) | [eul/l geyo] |  | TOPIK II Level 4
~을/ㄹ게요 | (In order to) | [eul/l geyo] |  | TOPIK II Level 4
~을/ㄹ까요? | (Shall we?) | [eul/l kkayo?] |  | TOPIK II Level 4
~을/ㄹ 때 | (When) | [eul/l ttae] |  | TOPIK II Level 4
~을/ㄹ 듯하다 | (Seems like) | [eul/l deushada] |  | TOPIK II Level 4
~을/ㄹ 만하다 | (Worth doing) | [eul/l manhada] |  | TOPIK II Level 4
~을/ㄹ 수록 | (The more) | [eul/l surok] |  | TOPIK II Level 4
~을/ㄹ 줄 알다 | (Know how to) | [eul/l jul alda] |  | TOPIK II Level 4
~을/ㄹ지 | (Whether or not) | [eul/lji] |  | TOPIK II Level 4
~을/ㄹ지도 모르다 | (Might) | [eul/ljido moreuda] |  | TOPIK II Level 4
~을/ㄹ지라도 | (Even if) | [eul/ljirado] |  | TOPIK II Level 4
~을/ㄹ지 몰라 | (Maybe) | [eul/lji molla] |  | TOPIK II Level 4
~을래요 | (Want to) | [eullaeyo] |  | TOPIK II Level 4
~을리가 없다 | (It's unlikely that) | [eulliga eopda] |  | TOPIK II Level 4
~을수록 | (The more) | [eulsurok] |  | TOPIK II Level 4
~을지언정 | (Even though) | [euljieonjeong] |  | TOPIK II Level 4
~이나 | (Or, whether) | [ina] |  | TOPIK II Level 4
~이든 | (Either or) | [ideun] |  | TOPIK II Level 4
~이라도 | (At least, even if) | [irado] |  | TOPIK II Level 4
~이라는 것 | (The thing called) | [iraneun geot] |  | TOPIK II Level 4
~이라면 | (If it's the case that) | [iramyeon] |  | TOPIK II Level 4
~이래 | (Like this, in this manner) | [irae] |  | TOPIK II Level 4
~이랑 | (And, with) | [irang] |  | TOPIK II Level 4
~이러하다 | (Like this) | [ireohada] |  | TOPIK II Level 4
~이런/그런/저런 | (This kind of/that kind of/that kind over there) | [ireon/geureon/jeoreon] |  | TOPIK II Level 4
~이므로 | (Because, since) | [imuro] |  | TOPIK II Level 4
~이야 | (Is, informal declaration) | [iya] |  | TOPIK II Level 4
~이외에 | (Other than) | [iwoe] | e | 
~이지만 | (But, although) | [ijiman] |  | TOPIK II Level 4
~이후 | (After, since) | [ihu] |  | TOPIK II Level 4
~인즉 | (In other words, that is to say) | [injeuk] |  | TOPIK II Level 4
~자 | (Let's) | [ja] |  | TOPIK II Level 4
~자마자 | (As soon as) | [jamaja] |  | TOPIK II Level 4
~전에 | (Before) | [jeonn] | e | 
~전에/전까지 | (Before/by the time of) | [jeone/jeonkkaji] |  | TOPIK II Level 4
~정도 | (About, approximately) | [jeongdo] |  | TOPIK II Level 4
~제 | (Although, even if) | [je] |  | TOPIK II Level 4
~조차 | (Even) | [jocha] |  | TOPIK II Level 4
~존재하다 | (To exist) | [jonjaehada] |  | TOPIK II Level 4
~줄 알다 | (Thought that) | [jul alda] |  | TOPIK II Level 4
~즉시 | (Immediately, at once) | [jeukshi] |  | TOPIK II Level 4
~지 않다 | (Negative form) | [ji anta] |  | TOPIK II Level 4
~지 않아도 되다 | (Do not have to) | [ji anado dweda] |  | TOPIK II Level 4
~지 않을까 | (Perhaps) | [ji anheulkka] |  | TOPIK II Level 4
~지만 | (But, however) | [jimyeon] |  | TOPIK II Level 4
~지요 | (~right?, isn't it?) | [jiyo] |  | TOPIK II Level 4
~진 않다 | (Not really) | [jin anta] |  | TOPIK II Level 4
~처럼 | (Like, as if) | [cheoreom] |  | TOPIK II Level 4
~쳐서 | (So) | [chyeoseo] |  | TOPIK II Level 4
~카이다 | (Seems like) | [kaida] |  | TOPIK II Level 4
~커녕 | (Let alone, far from) | [keonyeong] |  | TOPIK II Level 4
~케 되다 | (Become) | [ke dweda] |  | TOPIK II Level 4
~케 하다 | (Make) | [ke hada] |  | TOPIK II Level 4
~케하다 | (To make so that) | [kehada] |  | TOPIK II Level 4
~키가 크다/작다 | (To be tall/short) | [kiga keuda/jakda] |  | TOPIK II Level 4
~키로 | (By means of, with) | [kiro] |  | TOPIK II Level 4
~타다 | (To take, ride) | [tada] |  | TOPIK II Level 4
~테니까 | (Because) | [tenikka] |  | TOPIK II Level 4
~토록 | (So that, to the extent that) | [torok] |  | TOPIK II Level 4
~하게 되다 | (End up doing) | [hage dweda] |  | TOPIK II Level 4
~하고 있다 | (Is doing) | [hago itda] |  | TOPIK II Level 4
~하고 나서 | (After doing) | [hago naseo] |  | TOPIK II Level 4
~하고 싶다 | (Want to do) | [hago sipda] |  | TOPIK II Level 4
~하기로 하다 | (Decide to do) | [hakiro hada] |  | TOPIK II Level 4
~하기는 하다 | (Do to some extent) | [hakineun hada] |  | TOPIK II Level 4
~하기도 하다 | (Do sometimes) | [hakido hada] |  | TOPIK II Level 4
~하기보다 | (Rather than doing) | [hakiboda] |  | TOPIK II Level 4
~하나 | (But, however) | [hana] |  | TOPIK II Level 4
~하면 할수록 | (The more... the more) | [hamyeon halsurok] |  | TOPIK II Level 4
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
~나마나 | (Because, since) | [namamana] |  | TOPIK II Level 5
~남짓 | (About, or so) | [namjit] |  | TOPIK II Level 5
~내내 | (Throughout, the whole time) | [naenae] |  | TOPIK II Level 5
~네요 | (Expressing surprise) | [neyo] |  | TOPIK II Level 5
~노릇이다 | (Act as, function as) | [noreusida] |  | TOPIK II Level 5
~느라고 | (Because, in order to) | [neurago] |  | TOPIK II Level 5
~는 바람에 | (Because, as a result of) | [neun baram] | e | 
~는데다가 | (Moreover, furthermore) | [neundedaga] |  | TOPIK II Level 5
~는측에서 | (From the perspective of) | [neuncheugeseo] |  | TOPIK II Level 5
~다가도 | (Even if, even though) | [dagado] |  | TOPIK II Level 5
~다니 | (Expressing disbelief) | [dani] |  | TOPIK II Level 5
~답게 | (As befitting, like) | [dapge] |  | TOPIK II Level 5
~대로 | (As per, following) | [daero] |  | TOPIK II Level 5
~던데 | (Used to, before) | [deonde] |  | TOPIK II Level 5
~도록 하다 | (Make sure that, ensure that) | [dorok hada] |  | TOPIK II Level 5
~라든지 ~라든지 | (Either or) | [radenji radenji] |  | TOPIK II Level 5
~려고 하다 | (Try to) | [ryeogo hada] |  | TOPIK II Level 5
~만이 아니다 | (Not only) | [mani anida] |  | TOPIK II Level 5
~마련이다 | (Bound to, tend to) | [maryeonida] |  | TOPIK II Level 5
~면서 | (While) | [myeonseo] |  | TOPIK II Level 5
~동안 | (During/While) | [dongan] |  | TOPIK II Level 5
~보아하니/보아서는 | (Judging by, it seems that) | [boa] | hani/boa | seoneun
~부터는 | (From now on, since) | [buteoneun] |  | TOPIK II Level 5
~서야 | (Only after) | [seoya] |  | TOPIK II Level 5
~소문에는 | (I heard that) | [somuneneun] |  | TOPIK II Level 5
~아/어 보이다 | (To seem, appear) | [a/eo boida] |  | TOPIK II Level 5
~아/어야지 | (I should, I better) | [a/eoyaji] |  | TOPIK II Level 5
~았/었다 치다 | (Let’s say, suppose) | [at/eotda chida] |  | TOPIK II Level 5
~았/었던 것 같다 | (It seemed that) | [at/eotdeon geot gatda] |  | TOPIK II Level 5
~았/었어야 했다 | (Should have) | [at/eosseoya haetda] |  | TOPIK II Level 5
~어/아 가다 | (While doing) | [eo/a gada] |  | TOPIK II Level 5
~어/아 갖다 | (To keep doing) | [eo/a gatda] |  | TOPIK II Level 5
~어/아 달라다 | (To ask to do) | [eo/a dallada] |  | TOPIK II Level 5
~어/아 다니다 | (To keep doing) | [eo/a danida] |  | TOPIK II Level 5
~어/아 두다 | (To stop doing) | [eo/a duda] |  | TOPIK II Level 5
~어/아 들다 | (Start to) | [eo/a deulda] |  | TOPIK II Level 5
~어/아 버리다 | (To end up doing, regrettably) | [eo/a beorida] |  | TOPIK II Level 5
~어/아 보다 | (To try doing) | [eo/a boda] |  | TOPIK II Level 5
~어/아 서다 | (After doing) | [eo/a seoda] |  | TOPIK II Level 5
~어/아 오다 | (To come to do) | [eo/a oda] |  | TOPIK II Level 5
~어/아지다 | (Become) | [eo/ajida] |  | TOPIK II Level 5
~었으면 좋겠다 | (I wish it was/were) | [eosseumyeon jotgetda] |  | TOPIK II Level 5
~에 비해 | (서) | [(Compared to)] | e bihae | (seo)
~에 따라 | (서) | [(Depending on, according to)] | e ddara | (seo)
~에 한하다 | (Limited to) | [e hanhada] |  | TOPIK II Level 5
~에 한해서 | (Only in, limited to) | [e hanhaeseo] |  | TOPIK II Level 5
~에 힘쓰다 | (Put effort into) | [e himsseuda] |  | TOPIK II Level 5
~에서나 말고는 | (Except for, other than) | [eseo] | na malgoneun | 
~으나마나 | (It's no use, to no avail) | [eunamana] |  | TOPIK II Level 5
~으니/니까 | (So, since, because) | [euni/nikka] |  | TOPIK II Level 5
~으니까요 | (Because, so) | [eunikka] | yo | 
~을 바탕으로 | (Based on) | [eul batangeuro] |  | TOPIK II Level 5
~을 빼다 | (Except for) | [eul ppaeda] |  | TOPIK II Level 5
~을 사이 | (Between) | [eul sai] |  | TOPIK II Level 5
~을 테니 | (I assume/bet) | [eul teni] |  | TOPIK II Level 5
~을 통해 | (Through, via) | [eul tonghae] |  | TOPIK II Level 5
~을/를 계기로 | (Triggered by, starting from) | [eul/reul gye] | giro | 
~을/를 틈타 | (Taking advantage of, during) | [eul/reul teumta] |  | TOPIK II Level 5
~이기는 한데 | (Although, but) | [igineun hande] |  | TOPIK II Level 5
~이나 | (Or something) | [ina] |  | TOPIK II Level 5
~이란 | (Called, so | [called)] | iran | 
~이래 | (Since then, like this) | [irae] |  | TOPIK II Level 5
~이러하다 | (Like this, such) | [ireohada] |  | TOPIK II Level 5
~이리 | (This way, like this) | [iri] |  | TOPIK II Level 5
~이미 | (Already) | [imi] |  | TOPIK II Level 5
~인 바 | (Since, because it's the case that) | [in ba] |  | TOPIK II Level 5
~인 이상 | (As long as, since) | [in isang] |  | TOPIK II Level 5
~인/은/를 터이다 | (As it's the case that) | [in/eun/reul teo] | ida | 
~인즉슨 | (Which means, in other words) | [injeuksseun] |  | TOPIK II Level 5
~일 리가 없다 | (Cannot be, it's not possible that) | [il riga eopda] |  | TOPIK II Level 5
~일수록 | (The more ~, the more ~) | [ilsulok] |  | TOPIK II Level 5
~자마자 | (As soon as) | [ja] | maja | 
~잖아 | (요) | [(You know, isn't it)] | janha | (yo)
~지 않을까 싶다 | (I think, perhaps) | [ji anheul] | kka sipda | 
~지 않을테니 | (Won't, wouldn't) | [ji anheulteni] |  | TOPIK II Level 5
~지만 | (But, although) | [jimyeon] |  | TOPIK II Level 5
~지 않다/지 못하다 | (Not, don't, can't) | [ji anhda/ji mothada] |  | TOPIK II Level 5
~지 얼마나 되다 | (How long has it been) | [ji eolmana dweda] |  | TOPIK II Level 5
~지요/죠 | (Isn't it, right) | [jiyo/jyo] |  | TOPIK II Level 5
~쯤 | (About, around) | [jjeum] |  | TOPIK II Level 5
~처럼 | (Like, as) | [cheoreom] |  | TOPIK II Level 5
~측에서 | (From the standpoint of) | [cheok] | eseo | 
~치고는 | (For, considering) | [chigoneun] |  | TOPIK II Level 5
~테니라고 | (Since, because) | [tenirago] |  | TOPIK II Level 5
~텐데 | (Would, might) | [tende] |  | TOPIK II Level 5
~토록 | (So ~ that, to the extent) | [torok] |  | TOPIK II Level 5
~하게 | (Make, let) | [hage] |  | TOPIK II Level 5
~하고나서 | (After doing) | [hagonaseo] |  | TOPIK II Level 5
~하고는 | (And then, after) | [hagoneun] |  | TOPIK II Level 5
~하구나 | (Oh, so it's) | [haguna] |  | TOPIK II Level 5
~하다가 | (While doing, was doing) | [hadaga] |  | TOPIK II Level 5
~하다못해 | (To the extent that) | [hadamothae] |  | TOPIK II Level 5
~하던 중에 | (While I was doing) | [hadeon junge] |  | TOPIK II Level 5
~하기는 | (Although, but) | [hagineun] |  | TOPIK II Level 5
~하기로 | (Decide to) | [hagiro] |  | TOPIK II Level 5
~하기에 | (For) | [hagie] |  | TOPIK II Level 5
~하려고 하다 | (Try to do) | [haryeogo hada] |  | TOPIK II Level 5
~하마다 | (Every time) | [hamada] |  | TOPIK II Level 5
~하면 할수록 | (The more ~, the more ~) | [hamyeon halsurok] |  | TOPIK II Level 5
~하면서 | (While doing) | [hamyeonseo] |  | TOPIK II Level 5
~하시겠습니까? | (Would you?) | [hasigesseubnikka?] |  | TOPIK II Level 5
~하자 | (Let's, as soon as) | [haja] |  | TOPIK II Level 5
~하여 | (So, therefore) | [hayeo] |  | TOPIK II Level 5
~하여야 | (Have to, should) | [hayeoya] |  | TOPIK II Level 5
~하자마자 | (As soon as) | [hajamaja] |  | TOPIK II Level 5
~하여서는 안 되다 | (Must not) | [hayeoseoneun an doeda] |  | TOPIK II Level 5
~하기보다 | (Rather than) | [hagiboda] |  | TOPIK II Level 5
~하기까지 | (Even) | [hagikkaji] |  | TOPIK II Level 5
~하기도 하다 | (Sometimes) | [hagido hada] |  | TOPIK II Level 5
~하나 | (But, however) | [hana] |  | TOPIK II Level 5
~하느라 | (Because, in order to) | [haneura] |  | TOPIK II Level 5
~하는 한 | (As long as) | [haneun han] |  | TOPIK II Level 5
~하는 김에 | (While at it) | [haneun kime] |  | TOPIK II Level 5
~하는 편이다 | (Tend to) | [haneun pyeonida] |  | TOPIK II Level 5
~하는 대로 | (As soon as) | [haneun daero] |  | TOPIK II Level 5
~하다 보면 | (If you keep doing) | [hada bomyeon] |  | TOPIK II Level 5
~하다 보니 | (As I was doing) | [hada boni] |  | TOPIK II Level 5
~하려는 뜻이다 | (Intend to) | [haryeoneun tteushida] |  | TOPIK II Level 5
~하면 ~하다 | (If ~ then) | [hamyeon hada] |  | TOPIK II Level 5
~할 만하다 | (Worth to) | [hal manhada] |  | TOPIK II Level 5
~할 바에 | (Rather than) | [hal bae] |  | TOPIK II Level 5
~할 리가 없다 | (There's no way that) | [hal riga eopda] |  | TOPIK II Level 5
~할 때마다 | (Every time when) | [hal ttaemada] |  | TOPIK II Level 5
~할 힘이 없다 | (Don't have the strength/energy to) | [hal himi eopda] |  | TOPIK II Level 5
~할 것 같다 | (Seems like, feels like) | [hal geot gatda] |  | TOPIK II Level 5
~할 것이다 | (Will) | [hal geosida] |  | TOPIK II Level 5
~할 줄 알다 | (Know how to) | [hal jul alda] |  | TOPIK II Level 5
~할지라도 | (Even if) | [haljirado] |  | TOPIK II Level 5
~할지언정 | (Regardless of whether) | [haljieonjeong] |  | TOPIK II Level 5
~함에 있어 | (In terms of) | [hame isseo] |  | TOPIK II Level 5
~해 보이다 | (Look/seem to be) | [hae boida] |  | TOPIK II Level 5
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
 |  | [] |  | 
~게다가 | (Moreover, besides) | [gedaga] |  | TOPIK II Level 6
~거니와 | (And, besides) | [geoniwa] |  | TOPIK II Level 6
~것 마는 | (But) | [geot maneun] |  | TOPIK II Level 6
~과/와 같이 | (Like, as if) | [gwa/wa gachi] |  | TOPIK II Level 6
~나마저 | (Even) | [namajeo] |  | TOPIK II Level 6
~뿐만 아니라 | (Not only... but also) | [ppunman anira] |  | TOPIK II Level 6
~더니만 | (After, and then) | [deoniman] |  | TOPIK II Level 6
~이든지 ~든지 | (Whether... or) | [ideunji deunji] |  | TOPIK II Level 6
~임에 틀림없다 | (Without a doubt) | [ime tteollimeopda] |  | TOPIK II Level 6
~쩌면 | (Maybe, perhaps) | [jjeomyeon] |  | TOPIK II Level 6
~치고는 | (For, considering) | [chigoneun] |  | TOPIK II Level 6
~커녕 | (Far from, let alone) | [keonyeong] |  | TOPIK II Level 6
~판에 | (In the midst of) | [pane] |  | TOPIK II Level 6
~하건마는 | (But, however) | [hageonmaneun] |  | TOPIK II Level 6
~하더라도 | (Even if) | [hadeorado] |  | TOPIK II Level 6
~하든지 말든지 | (Whether... or not) | [hadeunji maldeunji] |  | TOPIK II Level 6
~하려니와 | (Trying to, but) | [haryeoniwa] |  | TOPIK II Level 6
~하여간 | (Anyway, anyhow) | [hayaegane] |  | TOPIK II Level 6
~하여야만 | (Only when) | [hayeoyaman] |  | TOPIK II Level 6
~해야겠다 | (Should, ought to) | [haeyagetda] |  | TOPIK II Level 6
~했던가 | (Or, either) | [haetdeon] | ga | 
~에 근거하여 | (Based on) | [e geungeohayeo] |  | TOPIK II Level 6
~에 비추어 볼 때 | (In comparison to) | [e bichueo bol ttae] |  | TOPIK II Level 6
~이다 보니 | (Since, as) | [ida boni] |  | TOPIK II Level 6
~이라면 그것은 | (If it’s called) | [iramyeon geugeoseun] |  | TOPIK II Level 6
~이래 | (Since then, after) | [irae] |  | TOPIK II Level 6
~이야말로 | (Truly, really) | [iyamallo] |  | TOPIK II Level 6
~인 까닭에 | (Because, the reason why) | [in kkadake] |  | TOPIK II Level 6
~인 즉 | (In other words) | [in jeuk] |  | TOPIK II Level 6
~임에도 불구하고 | (Despite the fact that) | [ime] | do bulguhago | 
~처럼 하다 | (To act as if, pretend to) | [cheoreom hada] |  | TOPIK II Level 6
~커지다 | (Become bigger, more important) | [keojida] |  | TOPIK II Level 6
~키로 하다 | (Intend to, plan to) | [kiro hada] |  | TOPIK II Level 6
~하기에는 | (Considering) | [hagineun] |  | TOPIK II Level 6
~하기로 되다 | (Be decided to) | [hagi] | ro dweda | 
~하기로 하다 | (Decide to) | [hagi] | ro hada | 
~하기는 하다 | (Do it somehow) | [hagineun hada] |  | TOPIK II Level 6
~하기야 | (Indeed, truly) | [hagiya] |  | TOPIK II Level 6
~하기만 하면 | (As soon as) | [hakiman hamyeon] |  | TOPIK II Level 6
~하기보다는 | (Rather than) | [hagi] | bodaneun | 
~하면서도 | (While, although) | [hamyeonseodo] |  | TOPIK II Level 6
~하면 할수록 | (The more... the more) | [hamyeon halsurok] |  | TOPIK II Level 6
~하자마자 | (As soon as) | [hajamaja] |  | TOPIK II Level 6
~하여 그런지 | (Perhaps because) | [hayeo geureonji] |  | TOPIK II Level 6
~하여서는 안 되다 | (Must not) | [hayeoseoneun an dweda] |  | TOPIK II Level 6
~한테는 | (To, for someone) | [hanteneun] |  | TOPIK II Level 6
~할 바에 | (Rather than) | [hal bae] | e | 
~할 만하다 | (Worth doing) | [hal manhada] |  | TOPIK II Level 6
~할 수밖에 없다 | (Have no choice but to) | [hal subakke eopda] |  | TOPIK II Level 6
~할 힘이 없다 | (To not have the energy/strength to) | [hal him] | i eopda | 
~함에 따라 | (According to) | [ham] | e ttara | 
~해 갈수록 | (Increasingly, as time goes on) | [hae galsurok] |  | TOPIK II Level 6
~해 보아야 | (Should try and see) | [hae boaya] |  | TOPIK II Level 6
~해오다 | (Continue doing something until now) | [haeoda] |  | TOPIK II Level 6
~했건만 | (But, however) | [haetgeonman] |  | TOPIK II Level 6
~했기 때문에 | (Because) | [haetgi ttaemune] |  | TOPIK II Level 6
~했기에 | (Because) | [haetgie] |  | TOPIK II Level 6
~했더니 | (And then) | [haetdeoni] |  | TOPIK II Level 6
~했어야 했다 | (Had to) | [haesseoya haetda] |  | TOPIK II Level 6
~혹은 | (Or) | [hogeun] |  | TOPIK II Level 6
~후에야 | (Only after) | [hueya] |  | TOPIK II Level 6
~흔히 | (Commonly, often) | [heunhi] |  | TOPIK II Level 6
~이/히다 | (To become) | [i/hida] |  | TOPIK II Level 6
~잖다 | (You know, isn't it) | [janda] |  | TOPIK II Level 6
~져/지다 | (Become) | [jyeo/jida] |  | TOPIK II Level 6
~졌다가 | (Was once, but) | [jyeotdaga] |  | TOPIK II Level 6
~즉 | (That is to say, namely) | [jeuk] |  | TOPIK II Level 6
~지 않을까 싶다 | (I think perhaps) | [ji anheulkka sipda] |  | TOPIK II Level 6
~지 않을까 하다 | (I guess, I suspect) | [ji anheulkka hada] |  | TOPIK II Level 6
~지 않을래 | (I don't want to) | [ji anheullae] |  | TOPIK II Level 6
~지요 | (~지, right?) | [jyo] |  | TOPIK II Level 6
~진행하다 | (To proceed) | [jinhaenghada] |  | TOPIK II Level 6
~쯤이야 | (About, approximately) | [jjeum] | iya | 
~쯤이면 | (By the time, around when) | [jjeum] | imyeon | 
~차라리 | (Rather, instead) | [charari] |  | TOPIK II Level 6
~처럼만 | (Just like, as if) | [cheoreomman] |  | TOPIK II Level 6
~케 하다 | (To make) | [ke hada] |  | TOPIK II Level 6
~타다 | (To take, ride) | [tada] |  | TOPIK II Level 6
~하게 하다 | (Make someone do) | [hage hada] |  | TOPIK II Level 6
~하여야만 | (Only by doing) | [hayeoyaman] |  | TOPIK II Level 6
~해서는 안 되다 | (Must not, shouldn't) | [haeseoneun an dwae] |  | TOPIK II Level 6
~해서야 | (In order to) | [haeseoya] |  | TOPIK II Level 6
~해야겠다 | (Should, must, have to) | [haeyagetta] |  | TOPIK II Level 6
~해야지 | (I should) | [haeyaji] |  | TOPIK II Level 6
~했더니 | (After doing something, result) | [haetdeoni] |  | TOPIK II Level 6
~했었는데 | (Had done but) | [haesseotneunde] |  | TOPIK II Level 6
~했을 텐데 | (Would have done but) | [haesseultende] |  | TOPIK II Level 6
~혹시 | (By any chance) | [hoksi] |  | TOPIK II Level 6
~힘들다 | (It's hard to) | [himdeulda] |  | TOPIK II Level 6
