이/가 | [i/ga] | (Subject markers) |  | TOPIK I Level 1
~해서는 안 되다 | [haeseoneun an dweda] | (Must not do) |  | TOPIK II Level 3
~해야 하다 | [haeya hada] | (Have to do) |  | TOPIK II Level 3
~했더니 | [haetdeoni] | (After doing) |  | TOPIK II Level 3
~했었다 | [haesseotda] | (Had done) |  | TOPIK II Level 3
~했으면 좋겠다 | [haesseumyeon jotgetda] | (I wish, I hope) |  | TOPIK II Level 3
~했을 때 | [haesseul ttae] | (When someone did) |  | TOPIK II Level 3
~했을 텐데 | [haesseul tende] | (Would have) |  | TOPIK II Level 3
~했지만 | [haetjiman] | (Did, but) |  | TOPIK II Level 3
~했다 | [haetda] | (Did, past tense) |  | TOPIK II Level 3
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
~거든요 | [geondeunyo] | (You see; Explaining) |  | TOPIK II Level 4
~게 되다 | [ge dweda] | (End up doing) |  | TOPIK II Level 4
~게 하다 | [ge hada] | (Make/let someone do) |  | TOPIK II Level 4
~게 해서는 안 되다 | [ge haeseoneun an dweda] | (Shouldn't make/let someone do) |  | TOPIK II Level 4
겠다 | [getda] | (will, guess, hope, wish) |  | TOPIK II Level 4
~고 말다 | [go malda] | (Ended up doing) |  | TOPIK II Level 4
~고 보니 | [go boni] | (After doing, I noticed) |  | TOPIK II Level 4
~고 싶다 | [go sipda] | (Want to) |  | TOPIK II Level 4
~고 있다 | [go itda] | (In the process of doing) |  | TOPIK II Level 4
~고자 하다 | [goja hada] | (In order to) |  | TOPIK II Level 4
~곤 하다 | [gon hada] | (Often do) |  | TOPIK II Level 4
~기도 하다 | [gido hada] | (Sometimes do) |  | TOPIK II Level 4
~기로 | [giro] | (Decided to) |  | TOPIK II Level 4
~기로 되다 | [giro dweda] | (It's decided to) |  | TOPIK II Level 4
~기로 하다 | [giro hada] | (Decide to) |  | TOPIK II Level 4
~기 시작하다 | [gi sijakhada] | (Begin to) |  | TOPIK II Level 4
~기 위해서 | [gi wihaeseo] | (In order to) |  | TOPIK II Level 4
~기는 | [gineun] | (But) |  | TOPIK II Level 4
~기에는 | [gieneun] | (For doing) |  | TOPIK II Level 4
~기 전에 | [gi jeone] | (Before doing) |  | TOPIK II Level 4
~나 보다 | [na boda] | (Seems like, guess) |  | TOPIK II Level 4
~나다 | [nada] | (End up doing, come to do) |  | TOPIK II Level 4
~나요? | [nayo?] | (Isn't it?) |  | TOPIK II Level 4
~는 대로 | [neun daero] | (As it is) |  | TOPIK II Level 4
~는 도중에 | [neun dojunge] | (While doing) |  | TOPIK II Level 4
~는 바람에 | [neun baram] | (Because of, due to) | e | 
~는 방향으로 | [neun banghyangeuro] | (Toward) |  | TOPIK II Level 4
~는 법이다 | [neun beopida] | (Usually, always) |  | TOPIK II Level 4
~는데다 | [neundedda] | (Furthermore, and) |  | TOPIK II Level 4
~는데도 | [neundedo] | (Even though, but still) |  | TOPIK II Level 4
~는데요 | [softener)] | (But, however | neundeyo | 
~는지 | [neunji] | (Whether or not) |  | TOPIK II Level 4
~는지 모르겠다 | [neunji moreugessda] | (I'm not sure if) |  | TOPIK II Level 4
~는지라 | [neunjira] | (Because, since) |  | TOPIK II Level 4
~느라 | [(Doing, and thus not doing)] | (고) | neura | (go)
~다가 | [daga] | (While, and then) |  | TOPIK II Level 4
~다가는 | [daganeun] | (If keep doing) |  | TOPIK II Level 4
~다가도 | [dagado] | (Even though was doing) |  | TOPIK II Level 4
~다는 것 | [daneun geot] | (The fact that) |  | TOPIK II Level 4
~다며 | [damyeo] | (Saying that) |  | TOPIK II Level 4
~대로 | [daero] | (According to, as) |  | TOPIK II Level 4
~대로 하다 | [daero hada] | (Do as instructed/said) |  | TOPIK II Level 4
~대로이면 | [daeroimyeon] | (If it's as ... said) |  | TOPIK II Level 4
~도록 | [dorok] | (So that) |  | TOPIK II Level 4
~도록 하다 | [dorok hada] | (Make/ensure that) |  | TOPIK II Level 4
~도록이면 | [dorogimyeon] | (If possible) |  | TOPIK II Level 4
~든지 | [deunji] | (Whether ... or) |  | TOPIK II Level 4
~든지 ~든지 | [deunji deunji] | (Either ... or) |  | TOPIK II Level 4
~라도 | [rado] | (At least, even if) |  | TOPIK II Level 4
~라든지 | [radeunji] | (Or something) |  | TOPIK II Level 4
~라면 | [ramyeon] | (If it's the case that) |  | TOPIK II Level 4
~라면서 | [ramyeonseo] | (While saying that) |  | TOPIK II Level 4
~려고 | [ryeogo] | (In order to) |  | TOPIK II Level 4
~려고 하다 | [ryeogo hada] | (Try to) |  | TOPIK II Level 4
~려는데 | [ryeonde] | (I'm planning to, I want to) |  | TOPIK II Level 4
~마다 | [mada] | (Every) |  | TOPIK II Level 4
~만큼 | [mankeum] | (As much as) |  | TOPIK II Level 4
~면 | [myeon] | (If, when) |  | TOPIK II Level 4
~면서 | [myeonseo] | (While) |  | TOPIK II Level 4
~밖에 | [bakke] | (Nothing but, only) |  | TOPIK II Level 4
~보다 | [boda] | (More than) |  | TOPIK II Level 4
~부터 | [buteo] | (From, starting from) |  | TOPIK II Level 4
~서는 | [seoneun] | (But in) |  | TOPIK II Level 4
~아/어 보이다 | [a/eo boida] | (Looks/seems like) |  | TOPIK II Level 4
~아/어 버리다 | [a/eo beorida] | (Completely do, unfortunately do) |  | TOPIK II Level 4
~아/어 두다 | [a/eo duda] | (Keep, leave) |  | TOPIK II Level 4
~아/어 가다 | [a/eo gada] | (Go on doing) |  | TOPIK II Level 4
~아/어 오다 | [a/eo oda] | (Come to do) |  | TOPIK II Level 4
~아/어야 하다 | [a/eoya hada] | (Have to, must) |  | TOPIK II Level 4
~아/어야지 | [a/eoyaji] | (I'm going to) |  | TOPIK II Level 4
~아/어도 | [a/eodo] | (Even if) |  | TOPIK II Level 4
~아/어서 | [a/eoseo] | (Because, so) |  | TOPIK II Level 4
~았/었던 | [ass/eossdeon] | (Was) |  | TOPIK II Level 4
~았/었어야 했다 | [ass/eosseoya haessda] | (Should have done) |  | TOPIK II Level 4
~았/었으면 | [ass/eosseumyeon] | (I wish it were) |  | TOPIK II Level 4
~았/었을 텐데 | [ass/eosseul tende] | (I assume it must have been) |  | TOPIK II Level 4
~았/었다가 | [ass/eossdaga] | (Was and then) |  | TOPIK II Level 4
~았/었다면 | [ass/eossdamyeon] | (If it had been) |  | TOPIK II Level 4
~으면 좋겠다 | [eumyeon joketda] | (I hope, it would be good if) |  | TOPIK II Level 4
~으면서도 | [eumyeonseodo] | (While, but still) |  | TOPIK II Level 4
~을/ㄹ 거예요 | [eul/l geoyeyo] | (Going to, will) |  | TOPIK II Level 4
~을/ㄹ게요 | [eul/l geyo] | (I will) |  | TOPIK II Level 4
~을/ㄹ게요 | [eul/l geyo] | (In order to) |  | TOPIK II Level 4
~을/ㄹ까요? | [eul/l kkayo?] | (Shall we?) |  | TOPIK II Level 4
~을/ㄹ 때 | [eul/l ttae] | (When) |  | TOPIK II Level 4
~을/ㄹ 듯하다 | [eul/l deushada] | (Seems like) |  | TOPIK II Level 4
~을/ㄹ 만하다 | [eul/l manhada] | (Worth doing) |  | TOPIK II Level 4
~을/ㄹ 수록 | [eul/l surok] | (The more) |  | TOPIK II Level 4
~을/ㄹ 줄 알다 | [eul/l jul alda] | (Know how to) |  | TOPIK II Level 4
~을/ㄹ지 | [eul/lji] | (Whether or not) |  | TOPIK II Level 4
~을/ㄹ지도 모르다 | [eul/ljido moreuda] | (Might) |  | TOPIK II Level 4
~을/ㄹ지라도 | [eul/ljirado] | (Even if) |  | TOPIK II Level 4
~을/ㄹ지 몰라 | [eul/lji molla] | (Maybe) |  | TOPIK II Level 4
~을래요 | [eullaeyo] | (Want to) |  | TOPIK II Level 4
~을리가 없다 | [eulliga eopda] | (It's unlikely that) |  | TOPIK II Level 4
~을수록 | [eulsurok] | (The more) |  | TOPIK II Level 4
~을지언정 | [euljieonjeong] | (Even though) |  | TOPIK II Level 4
~이나 | [ina] | (Or, whether) |  | TOPIK II Level 4
~이든 | [ideun] | (Either or) |  | TOPIK II Level 4
~이라도 | [irado] | (At least, even if) |  | TOPIK II Level 4
~이라는 것 | [iraneun geot] | (The thing called) |  | TOPIK II Level 4
~이라면 | [iramyeon] | (If it's the case that) |  | TOPIK II Level 4
~이래 | [irae] | (Like this, in this manner) |  | TOPIK II Level 4
~이랑 | [irang] | (And, with) |  | TOPIK II Level 4
~이러하다 | [ireohada] | (Like this) |  | TOPIK II Level 4
~이런/그런/저런 | [ireon/geureon/jeoreon] | (This kind of/that kind of/that kind over there) |  | TOPIK II Level 4
~이므로 | [imuro] | (Because, since) |  | TOPIK II Level 4
~이야 | [iya] | (Is, informal declaration) |  | TOPIK II Level 4
~이외에 | [iwoe] | (Other than) | e | 
~이지만 | [ijiman] | (But, although) |  | TOPIK II Level 4
~이후 | [ihu] | (After, since) |  | TOPIK II Level 4
~인즉 | [injeuk] | (In other words, that is to say) |  | TOPIK II Level 4
~자 | [ja] | (Let's) |  | TOPIK II Level 4
~자마자 | [jamaja] | (As soon as) |  | TOPIK II Level 4
~전에 | [jeonn] | (Before) | e | 
~전에/전까지 | [jeone/jeonkkaji] | (Before/by the time of) |  | TOPIK II Level 4
~정도 | [jeongdo] | (About, approximately) |  | TOPIK II Level 4
~제 | [je] | (Although, even if) |  | TOPIK II Level 4
~조차 | [jocha] | (Even) |  | TOPIK II Level 4
~존재하다 | [jonjaehada] | (To exist) |  | TOPIK II Level 4
~줄 알다 | [jul alda] | (Thought that) |  | TOPIK II Level 4
~즉시 | [jeukshi] | (Immediately, at once) |  | TOPIK II Level 4
~지 않다 | [ji anta] | (Negative form) |  | TOPIK II Level 4
~지 않아도 되다 | [ji anado dweda] | (Do not have to) |  | TOPIK II Level 4
~지 않을까 | [ji anheulkka] | (Perhaps) |  | TOPIK II Level 4
~지만 | [jimyeon] | (But, however) |  | TOPIK II Level 4
~지요 | [jiyo] | (~right?, isn't it?) |  | TOPIK II Level 4
~진 않다 | [jin anta] | (Not really) |  | TOPIK II Level 4
~처럼 | [cheoreom] | (Like, as if) |  | TOPIK II Level 4
~쳐서 | [chyeoseo] | (So) |  | TOPIK II Level 4
~카이다 | [kaida] | (Seems like) |  | TOPIK II Level 4
~커녕 | [keonyeong] | (Let alone, far from) |  | TOPIK II Level 4
~케 되다 | [ke dweda] | (Become) |  | TOPIK II Level 4
~케 하다 | [ke hada] | (Make) |  | TOPIK II Level 4
~케하다 | [kehada] | (To make so that) |  | TOPIK II Level 4
~키가 크다/작다 | [kiga keuda/jakda] | (To be tall/short) |  | TOPIK II Level 4
~키로 | [kiro] | (By means of, with) |  | TOPIK II Level 4
~타다 | [tada] | (To take, ride) |  | TOPIK II Level 4
~테니까 | [tenikka] | (Because) |  | TOPIK II Level 4
~토록 | [torok] | (So that, to the extent that) |  | TOPIK II Level 4
~하게 되다 | [hage dweda] | (End up doing) |  | TOPIK II Level 4
~하고 있다 | [hago itda] | (Is doing) |  | TOPIK II Level 4
~하고 나서 | [hago naseo] | (After doing) |  | TOPIK II Level 4
~하고 싶다 | [hago sipda] | (Want to do) |  | TOPIK II Level 4
~하기로 하다 | [hakiro hada] | (Decide to do) |  | TOPIK II Level 4
~하기는 하다 | [hakineun hada] | (Do to some extent) |  | TOPIK II Level 4
~하기도 하다 | [hakido hada] | (Do sometimes) |  | TOPIK II Level 4
~하기보다 | [hakiboda] | (Rather than doing) |  | TOPIK II Level 4
~하나 | [hana] | (But, however) |  | TOPIK II Level 4
~하면 할수록 | [hamyeon halsurok] | (The more... the more) |  | TOPIK II Level 4
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
~나마나 | [namamana] | (Because, since) |  | TOPIK II Level 5
~남짓 | [namjit] | (About, or so) |  | TOPIK II Level 5
~내내 | [naenae] | (Throughout, the whole time) |  | TOPIK II Level 5
~네요 | [neyo] | (Expressing surprise) |  | TOPIK II Level 5
~노릇이다 | [noreusida] | (Act as, function as) |  | TOPIK II Level 5
~느라고 | [neurago] | (Because, in order to) |  | TOPIK II Level 5
~는 바람에 | [neun baram] | (Because, as a result of) | e | 
~는데다가 | [neundedaga] | (Moreover, furthermore) |  | TOPIK II Level 5
~는측에서 | [neuncheugeseo] | (From the perspective of) |  | TOPIK II Level 5
~다가도 | [dagado] | (Even if, even though) |  | TOPIK II Level 5
~다니 | [dani] | (Expressing disbelief) |  | TOPIK II Level 5
~답게 | [dapge] | (As befitting, like) |  | TOPIK II Level 5
~대로 | [daero] | (As per, following) |  | TOPIK II Level 5
~던데 | [deonde] | (Used to, before) |  | TOPIK II Level 5
~도록 하다 | [dorok hada] | (Make sure that, ensure that) |  | TOPIK II Level 5
~라든지 ~라든지 | [radenji radenji] | (Either or) |  | TOPIK II Level 5
~려고 하다 | [ryeogo hada] | (Try to) |  | TOPIK II Level 5
~만이 아니다 | [mani anida] | (Not only) |  | TOPIK II Level 5
~마련이다 | [maryeonida] | (Bound to, tend to) |  | TOPIK II Level 5
~면서 | [myeonseo] | (While) |  | TOPIK II Level 5
~동안 | [dongan] | (During/While) |  | TOPIK II Level 5
~보아하니/보아서는 | [boa] | (Judging by, it seems that) | hani/boa | seoneun
~부터는 | [buteoneun] | (From now on, since) |  | TOPIK II Level 5
~서야 | [seoya] | (Only after) |  | TOPIK II Level 5
~소문에는 | [somuneneun] | (I heard that) |  | TOPIK II Level 5
~아/어 보이다 | [a/eo boida] | (To seem, appear) |  | TOPIK II Level 5
~아/어야지 | [a/eoyaji] | (I should, I better) |  | TOPIK II Level 5
~았/었다 치다 | [at/eotda chida] | (Let’s say, suppose) |  | TOPIK II Level 5
~았/었던 것 같다 | [at/eotdeon geot gatda] | (It seemed that) |  | TOPIK II Level 5
~았/었어야 했다 | [at/eosseoya haetda] | (Should have) |  | TOPIK II Level 5
~어/아 가다 | [eo/a gada] | (While doing) |  | TOPIK II Level 5
~어/아 갖다 | [eo/a gatda] | (To keep doing) |  | TOPIK II Level 5
~어/아 달라다 | [eo/a dallada] | (To ask to do) |  | TOPIK II Level 5
~어/아 다니다 | [eo/a danida] | (To keep doing) |  | TOPIK II Level 5
~어/아 두다 | [eo/a duda] | (To stop doing) |  | TOPIK II Level 5
~어/아 들다 | [eo/a deulda] | (Start to) |  | TOPIK II Level 5
~어/아 버리다 | [eo/a beorida] | (To end up doing, regrettably) |  | TOPIK II Level 5
~어/아 보다 | [eo/a boda] | (To try doing) |  | TOPIK II Level 5
~어/아 서다 | [eo/a seoda] | (After doing) |  | TOPIK II Level 5
~어/아 오다 | [eo/a oda] | (To come to do) |  | TOPIK II Level 5
~어/아지다 | [eo/ajida] | (Become) |  | TOPIK II Level 5
~었으면 좋겠다 | [eosseumyeon jotgetda] | (I wish it was/were) |  | TOPIK II Level 5
~에 비해 | [(Compared to)] | (서) | e bihae | (seo)
~에 따라 | [(Depending on, according to)] | (서) | e ddara | (seo)
~에 한하다 | [e hanhada] | (Limited to) |  | TOPIK II Level 5
~에 한해서 | [e hanhaeseo] | (Only in, limited to) |  | TOPIK II Level 5
~에 힘쓰다 | [e himsseuda] | (Put effort into) |  | TOPIK II Level 5
~에서나 말고는 | [eseo] | (Except for, other than) | na malgoneun | 
~으나마나 | [eunamana] | (It's no use, to no avail) |  | TOPIK II Level 5
~으니/니까 | [euni/nikka] | (So, since, because) |  | TOPIK II Level 5
~으니까요 | [eunikka] | (Because, so) | yo | 
~을 바탕으로 | [eul batangeuro] | (Based on) |  | TOPIK II Level 5
~을 빼다 | [eul ppaeda] | (Except for) |  | TOPIK II Level 5
~을 사이 | [eul sai] | (Between) |  | TOPIK II Level 5
~을 테니 | [eul teni] | (I assume/bet) |  | TOPIK II Level 5
~을 통해 | [eul tonghae] | (Through, via) |  | TOPIK II Level 5
~을/를 계기로 | [eul/reul gye] | (Triggered by, starting from) | giro | 
~을/를 틈타 | [eul/reul teumta] | (Taking advantage of, during) |  | TOPIK II Level 5
~이기는 한데 | [igineun hande] | (Although, but) |  | TOPIK II Level 5
~이나 | [ina] | (Or something) |  | TOPIK II Level 5
~이란 | [called)] | (Called, so | iran | 
~이래 | [irae] | (Since then, like this) |  | TOPIK II Level 5
~이러하다 | [ireohada] | (Like this, such) |  | TOPIK II Level 5
~이리 | [iri] | (This way, like this) |  | TOPIK II Level 5
~이미 | [imi] | (Already) |  | TOPIK II Level 5
~인 바 | [in ba] | (Since, because it's the case that) |  | TOPIK II Level 5
~인 이상 | [in isang] | (As long as, since) |  | TOPIK II Level 5
~인/은/를 터이다 | [in/eun/reul teo] | (As it's the case that) | ida | 
~인즉슨 | [injeuksseun] | (Which means, in other words) |  | TOPIK II Level 5
~일 리가 없다 | [il riga eopda] | (Cannot be, it's not possible that) |  | TOPIK II Level 5
~일수록 | [ilsulok] | (The more ~, the more ~) |  | TOPIK II Level 5
~자마자 | [ja] | (As soon as) | maja | 
~잖아 | [(You know, isn't it)] | (요) | janha | (yo)
~지 않을까 싶다 | [ji anheul] | (I think, perhaps) | kka sipda | 
~지 않을테니 | [ji anheulteni] | (Won't, wouldn't) |  | TOPIK II Level 5
~지만 | [jimyeon] | (But, although) |  | TOPIK II Level 5
~지 않다/지 못하다 | [ji anhda/ji mothada] | (Not, don't, can't) |  | TOPIK II Level 5
~지 얼마나 되다 | [ji eolmana dweda] | (How long has it been) |  | TOPIK II Level 5
~지요/죠 | [jiyo/jyo] | (Isn't it, right) |  | TOPIK II Level 5
~쯤 | [jjeum] | (About, around) |  | TOPIK II Level 5
~처럼 | [cheoreom] | (Like, as) |  | TOPIK II Level 5
~측에서 | [cheok] | (From the standpoint of) | eseo | 
~치고는 | [chigoneun] | (For, considering) |  | TOPIK II Level 5
~테니라고 | [tenirago] | (Since, because) |  | TOPIK II Level 5
~텐데 | [tende] | (Would, might) |  | TOPIK II Level 5
~토록 | [torok] | (So ~ that, to the extent) |  | TOPIK II Level 5
~하게 | [hage] | (Make, let) |  | TOPIK II Level 5
~하고나서 | [hagonaseo] | (After doing) |  | TOPIK II Level 5
~하고는 | [hagoneun] | (And then, after) |  | TOPIK II Level 5
~하구나 | [haguna] | (Oh, so it's) |  | TOPIK II Level 5
~하다가 | [hadaga] | (While doing, was doing) |  | TOPIK II Level 5
~하다못해 | [hadamothae] | (To the extent that) |  | TOPIK II Level 5
~하던 중에 | [hadeon junge] | (While I was doing) |  | TOPIK II Level 5
~하기는 | [hagineun] | (Although, but) |  | TOPIK II Level 5
~하기로 | [hagiro] | (Decide to) |  | TOPIK II Level 5
~하기에 | [hagie] | (For) |  | TOPIK II Level 5
~하려고 하다 | [haryeogo hada] | (Try to do) |  | TOPIK II Level 5
~하마다 | [hamada] | (Every time) |  | TOPIK II Level 5
~하면 할수록 | [hamyeon halsurok] | (The more ~, the more ~) |  | TOPIK II Level 5
~하면서 | [hamyeonseo] | (While doing) |  | TOPIK II Level 5
~하시겠습니까? | [hasigesseubnikka?] | (Would you?) |  | TOPIK II Level 5
~하자 | [haja] | (Let's, as soon as) |  | TOPIK II Level 5
~하여 | [hayeo] | (So, therefore) |  | TOPIK II Level 5
~하여야 | [hayeoya] | (Have to, should) |  | TOPIK II Level 5
~하자마자 | [hajamaja] | (As soon as) |  | TOPIK II Level 5
~하여서는 안 되다 | [hayeoseoneun an doeda] | (Must not) |  | TOPIK II Level 5
~하기보다 | [hagiboda] | (Rather than) |  | TOPIK II Level 5
~하기까지 | [hagikkaji] | (Even) |  | TOPIK II Level 5
~하기도 하다 | [hagido hada] | (Sometimes) |  | TOPIK II Level 5
~하나 | [hana] | (But, however) |  | TOPIK II Level 5
~하느라 | [haneura] | (Because, in order to) |  | TOPIK II Level 5
~하는 한 | [haneun han] | (As long as) |  | TOPIK II Level 5
~하는 김에 | [haneun kime] | (While at it) |  | TOPIK II Level 5
~하는 편이다 | [haneun pyeonida] | (Tend to) |  | TOPIK II Level 5
~하는 대로 | [haneun daero] | (As soon as) |  | TOPIK II Level 5
~하다 보면 | [hada bomyeon] | (If you keep doing) |  | TOPIK II Level 5
~하다 보니 | [hada boni] | (As I was doing) |  | TOPIK II Level 5
~하려는 뜻이다 | [haryeoneun tteushida] | (Intend to) |  | TOPIK II Level 5
~하면 ~하다 | [hamyeon hada] | (If ~ then) |  | TOPIK II Level 5
~할 만하다 | [hal manhada] | (Worth to) |  | TOPIK II Level 5
~할 바에 | [hal bae] | (Rather than) |  | TOPIK II Level 5
~할 리가 없다 | [hal riga eopda] | (There's no way that) |  | TOPIK II Level 5
~할 때마다 | [hal ttaemada] | (Every time when) |  | TOPIK II Level 5
~할 힘이 없다 | [hal himi eopda] | (Don't have the strength/energy to) |  | TOPIK II Level 5
~할 것 같다 | [hal geot gatda] | (Seems like, feels like) |  | TOPIK II Level 5
~할 것이다 | [hal geosida] | (Will) |  | TOPIK II Level 5
~할 줄 알다 | [hal jul alda] | (Know how to) |  | TOPIK II Level 5
~할지라도 | [haljirado] | (Even if) |  | TOPIK II Level 5
~할지언정 | [haljieonjeong] | (Regardless of whether) |  | TOPIK II Level 5
~함에 있어 | [hame isseo] | (In terms of) |  | TOPIK II Level 5
~해 보이다 | [hae boida] | (Look/seem to be) |  | TOPIK II Level 5
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
 | [] |  |  | 
~게다가 | [gedaga] | (Moreover, besides) |  | TOPIK II Level 6
~거니와 | [geoniwa] | (And, besides) |  | TOPIK II Level 6
~것 마는 | [geot maneun] | (But) |  | TOPIK II Level 6
~과/와 같이 | [gwa/wa gachi] | (Like, as if) |  | TOPIK II Level 6
~나마저 | [namajeo] | (Even) |  | TOPIK II Level 6
~뿐만 아니라 | [ppunman anira] | (Not only... but also) |  | TOPIK II Level 6
~더니만 | [deoniman] | (After, and then) |  | TOPIK II Level 6
~이든지 ~든지 | [ideunji deunji] | (Whether... or) |  | TOPIK II Level 6
~임에 틀림없다 | [ime tteollimeopda] | (Without a doubt) |  | TOPIK II Level 6
~쩌면 | [jjeomyeon] | (Maybe, perhaps) |  | TOPIK II Level 6
~치고는 | [chigoneun] | (For, considering) |  | TOPIK II Level 6
~커녕 | [keonyeong] | (Far from, let alone) |  | TOPIK II Level 6
~판에 | [pane] | (In the midst of) |  | TOPIK II Level 6
~하건마는 | [hageonmaneun] | (But, however) |  | TOPIK II Level 6
~하더라도 | [hadeorado] | (Even if) |  | TOPIK II Level 6
~하든지 말든지 | [hadeunji maldeunji] | (Whether... or not) |  | TOPIK II Level 6
~하려니와 | [haryeoniwa] | (Trying to, but) |  | TOPIK II Level 6
~하여간 | [hayaegane] | (Anyway, anyhow) |  | TOPIK II Level 6
~하여야만 | [hayeoyaman] | (Only when) |  | TOPIK II Level 6
~해야겠다 | [haeyagetda] | (Should, ought to) |  | TOPIK II Level 6
~했던가 | [haetdeon] | (Or, either) | ga | 
~에 근거하여 | [e geungeohayeo] | (Based on) |  | TOPIK II Level 6
~에 비추어 볼 때 | [e bichueo bol ttae] | (In comparison to) |  | TOPIK II Level 6
~이다 보니 | [ida boni] | (Since, as) |  | TOPIK II Level 6
~이라면 그것은 | [iramyeon geugeoseun] | (If it’s called) |  | TOPIK II Level 6
~이래 | [irae] | (Since then, after) |  | TOPIK II Level 6
~이야말로 | [iyamallo] | (Truly, really) |  | TOPIK II Level 6
~인 까닭에 | [in kkadake] | (Because, the reason why) |  | TOPIK II Level 6
~인 즉 | [in jeuk] | (In other words) |  | TOPIK II Level 6
~임에도 불구하고 | [ime] | (Despite the fact that) | do bulguhago | 
~처럼 하다 | [cheoreom hada] | (To act as if, pretend to) |  | TOPIK II Level 6
~커지다 | [keojida] | (Become bigger, more important) |  | TOPIK II Level 6
~키로 하다 | [kiro hada] | (Intend to, plan to) |  | TOPIK II Level 6
~하기에는 | [hagineun] | (Considering) |  | TOPIK II Level 6
~하기로 되다 | [hagi] | (Be decided to) | ro dweda | 
~하기로 하다 | [hagi] | (Decide to) | ro hada | 
~하기는 하다 | [hagineun hada] | (Do it somehow) |  | TOPIK II Level 6
~하기야 | [hagiya] | (Indeed, truly) |  | TOPIK II Level 6
~하기만 하면 | [hakiman hamyeon] | (As soon as) |  | TOPIK II Level 6
~하기보다는 | [hagi] | (Rather than) | bodaneun | 
~하면서도 | [hamyeonseodo] | (While, although) |  | TOPIK II Level 6
~하면 할수록 | [hamyeon halsurok] | (The more... the more) |  | TOPIK II Level 6
~하자마자 | [hajamaja] | (As soon as) |  | TOPIK II Level 6
~하여 그런지 | [hayeo geureonji] | (Perhaps because) |  | TOPIK II Level 6
~하여서는 안 되다 | [hayeoseoneun an dweda] | (Must not) |  | TOPIK II Level 6
~한테는 | [hanteneun] | (To, for someone) |  | TOPIK II Level 6
~할 바에 | [hal bae] | (Rather than) | e | 
~할 만하다 | [hal manhada] | (Worth doing) |  | TOPIK II Level 6
~할 수밖에 없다 | [hal subakke eopda] | (Have no choice but to) |  | TOPIK II Level 6
~할 힘이 없다 | [hal him] | (To not have the energy/strength to) | i eopda | 
~함에 따라 | [ham] | (According to) | e ttara | 
~해 갈수록 | [hae galsurok] | (Increasingly, as time goes on) |  | TOPIK II Level 6
~해 보아야 | [hae boaya] | (Should try and see) |  | TOPIK II Level 6
~해오다 | [haeoda] | (Continue doing something until now) |  | TOPIK II Level 6
~했건만 | [haetgeonman] | (But, however) |  | TOPIK II Level 6
~했기 때문에 | [haetgi ttaemune] | (Because) |  | TOPIK II Level 6
~했기에 | [haetgie] | (Because) |  | TOPIK II Level 6
~했더니 | [haetdeoni] | (And then) |  | TOPIK II Level 6
~했어야 했다 | [haesseoya haetda] | (Had to) |  | TOPIK II Level 6
~혹은 | [hogeun] | (Or) |  | TOPIK II Level 6
~후에야 | [hueya] | (Only after) |  | TOPIK II Level 6
~흔히 | [heunhi] | (Commonly, often) |  | TOPIK II Level 6
~이/히다 | [i/hida] | (To become) |  | TOPIK II Level 6
~잖다 | [janda] | (You know, isn't it) |  | TOPIK II Level 6
~져/지다 | [jyeo/jida] | (Become) |  | TOPIK II Level 6
~졌다가 | [jyeotdaga] | (Was once, but) |  | TOPIK II Level 6
~즉 | [jeuk] | (That is to say, namely) |  | TOPIK II Level 6
~지 않을까 싶다 | [ji anheulkka sipda] | (I think perhaps) |  | TOPIK II Level 6
~지 않을까 하다 | [ji anheulkka hada] | (I guess, I suspect) |  | TOPIK II Level 6
~지 않을래 | [ji anheullae] | (I don't want to) |  | TOPIK II Level 6
~지요 | [jyo] | (~지, right?) |  | TOPIK II Level 6
~진행하다 | [jinhaenghada] | (To proceed) |  | TOPIK II Level 6
~쯤이야 | [jjeum] | (About, approximately) | iya | 
~쯤이면 | [jjeum] | (By the time, around when) | imyeon | 
~차라리 | [charari] | (Rather, instead) |  | TOPIK II Level 6
~처럼만 | [cheoreomman] | (Just like, as if) |  | TOPIK II Level 6
~케 하다 | [ke hada] | (To make) |  | TOPIK II Level 6
~타다 | [tada] | (To take, ride) |  | TOPIK II Level 6
~하게 하다 | [hage hada] | (Make someone do) |  | TOPIK II Level 6
~하여야만 | [hayeoyaman] | (Only by doing) |  | TOPIK II Level 6
~해서는 안 되다 | [haeseoneun an dwae] | (Must not, shouldn't) |  | TOPIK II Level 6
~해서야 | [haeseoya] | (In order to) |  | TOPIK II Level 6
~해야겠다 | [haeyagetta] | (Should, must, have to) |  | TOPIK II Level 6
~해야지 | [haeyaji] | (I should) |  | TOPIK II Level 6
~했더니 | [haetdeoni] | (After doing something, result) |  | TOPIK II Level 6
~했었는데 | [haesseotneunde] | (Had done but) |  | TOPIK II Level 6
~했을 텐데 | [haesseultende] | (Would have done but) |  | TOPIK II Level 6
~혹시 | [hoksi] | (By any chance) |  | TOPIK II Level 6
~힘들다 | [himdeulda] | (It's hard to) |  | TOPIK II Level 6
